month,category,net_inflow_crore
2022-11,Mid Cap,886
2022-11,Small Cap,-441
2022-11,Flexi Cap,568
2022-11,Debt,-69
2022-11,Hybrid,651
2022-11,Index,1117
2022-11,ELSS,1442
2022-11,Liquid,1242
2022-11,Multi Cap,2423
2022-12,Large Cap,565
2022-12,Mid Cap,283
2022-12,Small Cap,-198
2022-12,Flexi Cap,937
2022-12,Debt,1717
2022-12,Hybrid,-419
2022-12,Index,626
2022-12,ELSS,843
2022-12,Liquid,143
2022-12,Multi Cap,348
2023-01,Large Cap,-262
2023-01,Mid Cap,2335
2023-01,Small Cap,1648
2023-01,Flexi Cap,731
2023-01,Debt,2065
2023-01,Hybrid,2491
2023-01,Index,1257
2023-01,ELSS,1365
2023-01,Liquid,1987
2023-01,Multi Cap,70
2023-02,Large Cap,2190
2023-02,Mid Cap,2267
2023-02,Small Cap,-25
2023-02,Flexi Cap,-325
2023-02,Debt,14
2023-02,Hybrid,920
2023-02,Index,215
2023-02,ELSS,766
2023-02,Liquid,429
2023-02,Multi Cap,-122
2023-03,Large Cap,1560
2023-03,Mid Cap,677
2023-03,Small Cap,1781
2023-03,Flexi Cap,-126
2023-03,Debt,1942
2023-03,Hybrid,813
2023-03,Index,1930
2023-03,ELSS,257
2023-03,Liquid,1363
2023-03,Multi Cap,83
2023-04,Large Cap,137
2023-04,Mid Cap,935
2023-04,Small Cap,349
2023-04,Flexi Cap,-209
2023-04,Debt,1559
2023-04,Hybrid,1891
2023-04,Index,2086
2023-04,ELSS,493
2023-04,Liquid,1162
2023-04,Multi Cap,553
2023-05,Large Cap,497
2023-05,Mid Cap,49
2023-05,Small Cap,28
2023-05,Flexi Cap,867
2023-05,Debt,1470
2023-05,Hybrid,1107
2023-05,Index,1959
2023-05,ELSS,1707
2023-05,Liquid,-177
2023-05,Multi Cap,822
2023-06,Large Cap,679
2023-06,Mid Cap,2097
2023-06,Small Cap,569
2023-06,Flexi Cap,1995
2023-06,Debt,1097
2023-06,Hybrid,2241
2023-06,Index,93
2023-06,ELSS,1271
2023-06,Liquid,569
2023-06,Multi Cap,580
2023-07,Large Cap,1467
2023-07,Mid Cap,780
2023-07,Small Cap,616
2023-07,Flexi Cap,252
2023-07,Debt,1183
2023-07,Hybrid,-179
2023-07,Index,-361
2023-07,ELSS,316
2023-07,Liquid,-308
2023-07,Multi Cap,808
2023-08,Large Cap,1962
2023-08,Mid Cap,1016
2023-08,Small Cap,-119
2023-08,Flexi Cap,74
2023-08,Debt,100
2023-08,Hybrid,1711
2023-08,Index,827
2023-08,ELSS,813
2023-08,Liquid,314
2023-08,Multi Cap,1489
2023-09,Large Cap,-462
2023-09,Mid Cap,1115
2023-09,Small Cap,-28
2023-09,Flexi Cap,350
2023-09,Debt,1694
2023-09,Hybrid,1443
2023-09,Index,2147
2023-09,ELSS,1165
2023-09,Liquid,1305
2023-09,Multi Cap,1502
2023-10,Large Cap,-54
2023-10,Mid Cap,2455
2023-10,Small Cap,-300
2023-10,Flexi Cap,-101
2023-10,Debt,2280
2023-10,Hybrid,548
2023-10,Index,316
2023-10,ELSS,1939
2023-10,Liquid,527
2023-10,Multi Cap,-255
2023-11,Large Cap,2369
2023-11,Mid Cap,-234
2023-11,Small Cap,525
2023-11,Flexi Cap,1044
2023-11,Debt,2092
2023-11,Hybrid,710
2023-11,Index,1420
2023-11,ELSS,1764
2023-11,Liquid,1055
2023-11,Multi Cap,264
2023-12,Large Cap,340
2023-12,Mid Cap,360
2023-12,Small Cap,280
2023-12,Flexi Cap,1715
2023-12,Debt,2199
2023-12,Hybrid,492
2023-12,Index,-6
2023-12,ELSS,2319
2023-12,Liquid,-429
2023-12,Multi Cap,850
2024-01,Large Cap,2409
2024-01,Mid Cap,1571
2024-01,Small Cap,1937
2024-01,Flexi Cap,65
2024-01,Debt,-282
2024-01,Hybrid,1648
2024-01,Index,2219
2024-01,ELSS,-286
2024-01,Liquid,2377
2024-01,Multi Cap,-234
2024-02,Large Cap,1798
2024-02,Mid Cap,831
2024-02,Small Cap,1571
2024-02,Flexi Cap,1978
2024-02,Debt,-8
2024-02,Hybrid,221
2024-02,Index,1856
2024-02,ELSS,-63
2024-02,Liquid,2271
2024-02,Multi Cap,1816
2024-03,Large Cap,1546
2024-03,Mid Cap,1548
2024-03,Small Cap,1410
2024-03,Flexi Cap,1991
2024-03,Debt,1652
2024-03,Hybrid,20
2024-03,Index,2442
2024-03,ELSS,-157
2024-03,Liquid,2146
2024-03,Multi Cap,1546
2024-04,Large Cap,-14
2024-04,Mid Cap,1336
2024-04,Small Cap,1343
2024-04,Flexi Cap,198
2024-04,Debt,739
2024-04,Hybrid,1634
2024-04,Index,1246
2024-04,ELSS,374
2024-04,Liquid,-73
2024-04,Multi Cap,637
2024-05,Large Cap,13
2024-05,Mid Cap,656
2024-05,Small Cap,-118
2024-05,Flexi Cap,2179
2024-05,Debt,-39
2024-05,Hybrid,77
2024-05,Index,15
2024-05,ELSS,-140
2024-05,Liquid,1433
2024-05,Multi Cap,-301
2024-06,Large Cap,1628
2024-06,Mid Cap,2402
2024-06,Small Cap,20
2024-06,Flexi Cap,2419
2024-06,Debt,1394
2024-06,Hybrid,2285
2024-06,Index,2222
2024-06,ELSS,-414
2024-06,Liquid,1553
2024-06,Multi Cap,610
2024-07,Large Cap,2091
2024-07,Mid Cap,2489
2024-07,Small Cap,-111
2024-07,Flexi Cap,140
2024-07,Debt,2455
2024-07,Hybrid,-225
2024-07,Index,1421
2024-07,ELSS,860
2024-07,Liquid,720
2024-07,Multi Cap,419
2024-08,Large Cap,1755
2024-08,Mid Cap,407
2024-08,Small Cap,1876
2024-08,Flexi Cap,-7
2024-08,Debt,300
2024-08,Hybrid,1768
2024-08,Index,1108
2024-08,ELSS,1617
2024-08,Liquid,2364
2024-08,Multi Cap,2444
2024-09,Large Cap,1690
2024-09,Mid Cap,251
2024-09,Small Cap,-402
2024-09,Flexi Cap,736
2024-09,Debt,2013
2024-09,Hybrid,1785
2024-09,Index,-155
2024-09,ELSS,1406
2024-09,Liquid,1766
2024-09,Multi Cap,-250
2024-10,Large Cap,236
2024-10,Mid Cap,-223
2024-10,Small Cap,-411
2024-10,Flexi Cap,1964
2024-10,Debt,1296
2024-10,Hybrid,1942
2024-10,Index,532
2024-10,ELSS,1097
2024-10,Liquid,-108
2024-10,Multi Cap,-120
2024-11,Large Cap,2361
2024-11,Mid Cap,1293
2024-11,Small Cap,364
2024-11,Flexi Cap,2
2024-11,Debt,1710
2024-11,Hybrid,2270
2024-11,Index,778
2024-11,ELSS,-382
2024-11,Liquid,527
2024-11,Multi Cap,1115
2024-12,Large Cap,1100
2024-12,Mid Cap,1297
2024-12,Small Cap,1386
2024-12,Flexi Cap,2108
2024-12,Debt,516
2024-12,Hybrid,866
2024-12,Index,180
2024-12,ELSS,299
2024-12,Liquid,60
2024-12,Multi Cap,-475
2025-01,Large Cap,1303
2025-01,Mid Cap,1163
2025-01,Small Cap,2337
2025-01,Flexi Cap,1506
2025-01,Debt,1443
2025-01,Hybrid,2361
2025-01,Index,610
2025-01,ELSS,862
2025-01,Liquid,150
2025-01,Multi Cap,1120
2025-02,Large Cap,1904
2025-02,Mid Cap,-426
2025-02,Small Cap,558
2025-02,Flexi Cap,1835
2025-02,Debt,1900
2025-02,Hybrid,812
2025-02,Index,447
2025-02,ELSS,2342
2025-02,Liquid,663
2025-02,Multi Cap,159
2025-03,Large Cap,1564
2025-03,Mid Cap,416
2025-03,Small Cap,340
2025-03,Flexi Cap,-217
2025-03,Debt,188
2025-03,Hybrid,1412
2025-03,Index,1674
2025-03,ELSS,-132
2025-03,Liquid,775
2025-03,Multi Cap,1008
2025-04,Large Cap,1629
2025-04,Mid Cap,1864
2025-04,Small Cap,-223
2025-04,Flexi Cap,1962
2025-04,Debt,1672
2025-04,Hybrid,2406
2025-04,Index,2024
2025-04,ELSS,-437
2025-04,Liquid,2328
2025-04,Multi Cap,107
2025-05,Large Cap,2366
2025-05,Mid Cap,1535
2025-05,Small Cap,159
2025-05,Flexi Cap,1873
2025-05,Debt,1194
2025-05,Hybrid,507
2025-05,Index,2055
2025-05,ELSS,1405
2025-05,Liquid,1004
2025-05,Multi Cap,-144
2025-06,Large Cap,662
2025-06,Mid Cap,788
2025-06,Small Cap,1319
2025-06,Flexi Cap,129
2025-06,Debt,648
2025-06,Hybrid,1161
2025-06,Index,-118
2025-06,ELSS,824
2025-06,Liquid,246
2025-06,Multi Cap,1721
2025-07,Large Cap,1376
2025-07,Mid Cap,1026
2025-07,Small Cap,1861
2025-07,Flexi Cap,167
2025-07,Debt,-192
2025-07,Hybrid,2484
2025-07,Index,1034
2025-07,ELSS,-349
2025-07,Liquid,-328
2025-07,Multi Cap,38
2025-08,Large Cap,1879
2025-08,Mid Cap,-214
2025-08,Small Cap,753
2025-08,Flexi Cap,1285
2025-08,Debt,927
2025-08,Hybrid,1977
2025-08,Index,1516
2025-08,ELSS,1218
2025-08,Liquid,1664
2025-08,Multi Cap,1745
2025-09,Large Cap,1053
2025-09,Mid Cap,-373
2025-09,Small Cap,1857
2025-09,Flexi Cap,1582
2025-09,Debt,933
2025-09,Hybrid,1133
2025-09,Index,1029
2025-09,ELSS,1714
2025-09,Liquid,375
2025-09,Multi Cap,2430
2025-10,Large Cap,2202
2025-10,Mid Cap,1483
2025-10,Small Cap,1879
2025-10,Flexi Cap,-336
2025-10,Debt,-158
2025-10,Hybrid,1876
2025-10,Index,392
2025-10,ELSS,-308
2025-10,Liquid,1580
2025-10,Multi Cap,762
2025-11,Large Cap,1438
2025-11,Mid Cap,-264
2025-11,Small Cap,2061
2025-11,Flexi Cap,1143
2025-11,Debt,-390
2025-11,Hybrid,462
2025-11,Index,1912
2025-11,ELSS,298
2025-11,Liquid,785
2025-11,Multi Cap,1366
2025-12,Large Cap,1485
2025-12,Mid Cap,58
2025-12,Small Cap,-382
2025-12,Flexi Cap,2344
2025-12,Debt,1274
2025-12,Hybrid,1854
2025-12,Index,1316
2025-12,ELSS,1456
2025-12,Liquid,2244
2025-12,Multi Cap,238
